station_id,lat,lon,page,details
ISRO0830,16.4,78.65,19,"112  MRO  ,ACHAMPET ANDHRA  PRADESH 15F33E ISRO0830 16.40 78.65  2009-08-08 2018-11-26 HOURLY 113  MPO  ITIKYAL  ANDHRA "
ISRO0831,16.4,78.65,19,"112  MRO  ,ACHAMPET ANDHRA  PRADESH 15F33E ISRO0830 16.40 78.65  2009-08-08 2018-11-26 HOURLY 113  MPO  ITIKYAL  ANDHRA "
ISRO0832,16.4,78.65,19,ISRO0830 16.40 78.65  2009-08-08 2018-11-26 HOURLY 113  MPO  ITIKYAL  ANDHRA  PRADESH 15F33F ISRO0831 15.09 77.86  2009-
ISRO0833,15.09,77.86,19,"15.09 77.86  2009-08-05 2018-07-01 HOURLY 114  MRO,JADCHERLA ANDHRA  PRADESH 15F340 ISRO0832 16.76 78.14  2009-08-05 201"
ISRO0846,16.76,78.14,19,"16.76 78.14  2009-08-05 2018-10-20 HOURLY 115  MRO,NARVA  MANDAL ANDHRA  PRADESH 15F341 ISRO0833 16.48 77.67  2009-08-05"
ISRO0847,16.48,77.67,19,16.48 77.67  2009-08-05 2018-01-08 HOURLY 116  The  Tahsildar-Vanaparthi  Mandal- ANDHRA  PRADESH 15F34E ISRO0846 16.36 
ISRO0848,16.36,78.06,19,"16.36 78.06  2010-08-15 2017-12-01 HOURLY 117  M.R.O.Office,Kadugal ANDHRA  PRADESH 15F34F ISRO0847 17.11 77.63  2009-08"
ISRO0849,18.04,77.78,20,PRADESH 8-05 2-31 119  M.R.O.Office-Narayana  ked ANDHRA  PRADESH 15F351 ISRO0849 18.04 77.78  2010-08-15 2018-12-25 HOU
ISRO0850,18.04,77.78,20,PRADESH 8-05 2-31 119  M.R.O.Office-Narayana  ked ANDHRA  PRADESH 15F351 ISRO0849 18.04 77.78  2010-08-15 2018-12-25 HOU
ISRO0851,17.68,77.61,20,"2018-12-25 HOURLY 120 MRO  Office,  Zaheerabad ANDHRA  PRADESH 15F352 ISRO0850 17.68 77.61  2009-08-05 2018-12-28 HOURLY"
ISRO0852,14.68,80.05,20,2018-12-28 HOURLY 121 The  Tahsildar-Allur  Mandal- ANDHRA  PRADESH 15F353 ISRO0851 14.68 80.05  2010-08-15 2019-01-23 H
ISRO0853,14.47,80.09,20,2019-01-23 HOURLY 122 MRO  Office-hindupurpet ANDHRA  PRADESH 15F354 ISRO0852 14.47 80.09  2010-08-15 2019-01-24 HOURLY 
ISRO0854,14.91,79.99,20,2019-01-24 HOURLY 123 MRO  Office  Kavali ANDHRA  PRADESH 15F355 ISRO0853 14.91 79.99  2009-08-05 2019-02-07 HOURLY 124 
ISRO0855,13.7,80.02,21,125 The  Tahsildar-Sullurpeta  Mandal- ANDHRA  PRADESH 15F357 ISRO0855 13.70 80.02  2010-08-15 2019-01-25 HOURLY 126 The
ISRO0856,13.7,80.02,21,125 The  Tahsildar-Sullurpeta  Mandal- ANDHRA  PRADESH 15F357 ISRO0855 13.70 80.02  2010-08-15 2019-01-25 HOURLY 126 The
ISRO0857,18.67,78.1,21,2019-01-25 HOURLY 126 The  Tahsildar-Nizamabad  Mandal- ANDHRA  PRADESH 15F358 ISRO0856 18.67 78.10  2010-08-15 2018-12-
ISRO0858,15.83,80.35,21,2018-12-24 HOURLY 127 M.R.O.Office  Chirala ANDHRA  PRADESH 15F359 ISRO0857 15.83 80.35  2009-09-22 2019-01-02 HOURLY 12
ISRO0859,15.08,79.9,21,"2019-01-02 HOURLY 128 M.R.O.Office,gudlur  mandal ANDHRA  PRADESH 15F35A ISRO0858 15.08 79.90  2009-09-22 2019-01-16 HOU"
ISRO0860,15.82,80.11,21,"2019-01-16 HOURLY 129 M.R.O.Office,janakavaram ANDHRA  PRADESH 15F35B ISRO0859 15.82 80.11  2009-09-22 2019-01-13 HOURLY"
ISRO0861,15.22,79.91,21,"2019-01-13 HOURLY 130 M.R.O.Office,kandukur  mandal ANDHRA  PRADESH 15F35C ISRO0860 15.22 79.91  2009-09-22 2017-08-18 H"
ISRO0862,15.45,80.16,22,"132 M.R.O.Office,Kottapatnam ANDHRA  PRADESH 15F35E ISRO0862 15.45 80.16  2009-09-22 2019-01-02 HOURLY 133 M.R.O.Office,"
ISRO0863,15.45,80.16,22,"132 M.R.O.Office,Kottapatnam ANDHRA  PRADESH 15F35E ISRO0862 15.45 80.16  2009-09-22 2019-01-02 HOURLY 133 M.R.O.Office,"
ISRO0864,15.62,80.02,22,"80.16  2009-09-22 2019-01-02 HOURLY 133 M.R.O.Office,  MADHIPADU ANDHRA  PRADESH 15F35F ISRO0863 15.62 80.02  2009-09-22"
ISRO0865,15.17,80.01,22,80.02  2009-09-22 2018-12-30 HOURLY 134 Ulava  padu  ANDHRA  PRADESH 15F360 ISRO0864 15.17 80.01  2010-03-05 2019-01-17 
ISRO0866,17.31,78.13,22,"2019-01-17 HOURLY 135 M.R.O.Office,CHEVELLA  MANDAL ANDHRA  PRADESH 15F361 ISRO0865 17.31 78.13  2009-08-05 2019-03-14 H"
ISRO0867,18.91,83.81,22,2019-03-14 HOURLY 136 The  Tahsildar-Bhamini  Mandal- ANDHRA  PRADESH 15F362 ISRO0866 18.91 83.81  2010-03-05 2017-11-02
ISRO0868,18.67,83.95,22,"83.81  2010-03-05 2017-11-02 HOURLY 137 The  Tahsildar,Hiramandalam  Mandal, ANDHRA  PRADESH 15F363 ISRO0867 18.67 83.95"
